,raw,pre
0,4.7,4.535802
1,4.6,4.4711986
2,2.4,2.4842694
3,2.8,2.0251148
4,1.6000001,1.8087683
5,4.4,4.3144917
6,2.8,2.4855325
7,2.8,2.4855325
8,2.8,2.5466962
9,1.6000001,1.8087683
10,2.5,2.9062254
11,4.4,4.287795
12,2.2,2.3399358
13,4.1999993,3.8585951
14,5.3,5.0938444
15,5.4,5.2611837
16,5.3,5.3230667
17,2.8,2.8359742
18,4.0999994,4.1150455
19,4.0999994,4.1703944
